All,Todos
"An error occurred while refreshing cache.","Ocorreu um erro durante o recarregamento da cache."
Dashboard,"Painel de Administração"
"We updated lifetime statistic.","Atualizámos as estatísticas desde sempre."
"We can't refresh lifetime statistics.","Não conseguimos recarregar as estatísticas desde sempre."
"invalid request","pedido inválido"
"see error log for details","consulte o log de erros para obter detalhes"
"Service unavailable: %1","Serviço indisponível: %1"
"Access Denied.","Acesso não permitido."
"You need more permissions to do this.","Necessita de mais permissões para realizar esta ação."
"No search modules were registered","Não foram registados módulos de pesquisa"
"Please make sure that all global admin search modules are installed and activated.","Por favor certifique-se de que todos os módulos de pesquisa de administração globais estão instalados e ativados."
"You saved the account.","Gravou a conta."
"An error occurred while saving account.","Ocorreu um erro a gravar a conta."
"You deleted the design change.","Apagou a modificação do design."
"You can't delete the design change.","Não pode apagar a modificação do design."
"Store Design","Design da Loja"
"Edit Store Design Change","Editar alteração do Design da Loja"
"You saved the design change.","Você gravou a alteração ao design."
System,Sistema
"Manage Stores","Gerir Lojas"
"The database was backed up.","Foi efetuada uma cópia de segurança da base de dados."
"We can't create a backup right now. Please try again later.","Não podemos criar uma cópia de segurança agora. Por favor, tente novamente mais tarde."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Apagar o item %1 não vai apagar a informação associada ao mesmo %1 (e.g. categorias, produtos, etc.), mas o item %1 não poderá ser recuperado. Sugere-se um backup à base de dados antes de apagar o item %1."
"Something went wrong. Please try again.","Ocorreu um erro. Por favor, tente novamente."
"This store cannot be deleted.","Esta loja não pode ser eliminada."
"You deleted the store.","Você eliminou a loja."
"Unable to delete the store. Please try again later.","Não foi possível apagar a loja. Por favor tente mais tarde."
"This store view cannot be deleted.","Esta vista de loja não pode ser apagada."
"Store View","Vista da Loja"
"You deleted the store view.","Apagou a vista de loja."
"Unable to delete the store view. Please try again later.","Não foi possível apagar a vista de loja. Por favor tente mais tarde."
"This website cannot be deleted.","Este site não pode ser apagado."
"You deleted the website.","Você eliminou o site."
"Unable to delete the website. Please try again later.","Não foi possível apagar o site. Por favor tente mais tarde."
"The website does not exist.","O site não existe."
"Before modifying the website code please make sure it is not used in index.php.","Antes de modificar o código do site por favor certifique-se que o mesmo não é usado no ficheiro index.php."
"The store does not exist","A loja não existe"
"Store view doesn't exist","A vista de loja não existe"
"Before modifying the store view code please make sure it is not used in index.php.","Antes de modificar o código da vista de loja por favor certifique-se que o mesmo não é usado no ficheiro index.php."
"New ","Novo "
"All Stores","Todas as Lojas"
"You saved the website.","Gravou o site."
"The default store cannot be disabled","A loja padrão não pode ser desativada"
"You saved the store view.","Gravou a vista de loja."
"An inactive store view cannot be saved as default store view","Uma vista de loja inativa não pode ser guardada como a vista de loja padrão"
"You saved the store.","Gravou a loja."
"Something went wrong while saving. Please review the error log.","Algo correu mal durante a gravação. Por favor consulte o log de erros."
"Last 24 Hours","Últimas 24 horas"
"Last 7 Days","Últimos 7 dias"
"Current Month","Mês atual"
YTD,"Desde o início do ano"
2YTD,"Desde o início do ano passado"
"Authentication storage is incorrect.","O armazenamento de autenticação está incorreto."
"You did not sign in correctly or your account is temporarily disabled.","Os dados inseridos estão incorretos ou a sua conta está temporariamente inativa."
"Authentication error occurred.","Ocorreu um erro de autenticação."
"Admin session lifetime must be less than or equal to 31536000 seconds (one year)","O tempo de vida da sessão de administrador deve ser menor ou igual a 31536000 segundos (um ano)"
"Admin session lifetime must be greater than or equal to 60 seconds","O tempo de vida da sessão de administrador deve ser maior ou igual a 60 segundos"
Order,Encomenda
"Order #%1","Encomenda #%1"
"Sorry, you need permissions to view this content.","Desculpa, mas necessita de permissões para visualizar este conteúdo."
"Next steps","Próximos passos"
"If you think this is an error, try signing out and signing in again.","Se acha que é um erro, por favor saia e volte e entrar."
"Contact a system administrator or store owner to gain permissions.","Contacte o administrador de sistemas ou o dono da loja, para ter acesso."
"Return to ","Retornar para "
"previous page","página anterior"
"Welcome, please sign in","Bem vindo(a), por favor inicie sessão"
Username,"Nome de utilizador"
"user name","nome de utilizador"
Password,Palavra-passe
password,palavra-passe
"Sign in","Iniciar sessão"
"Select Range:","Selecione Intervalo:"
"No Data Found","Nenhuns Dados Encontrados"
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","O gráfico está desativado. Para ativar o gráfico, clique <a href=""%1"">aqui</a>."
"Last Orders","Últimas Encomendas"
"Last Search Terms","Últimas Pesquisas"
"Top Search Terms","Pesquisas Mais Populares"
"There are no search keywords.","Não há nenhumas pesquisas."
"View Statistics For:","Ver Estatísticas Para:"
"All Websites","Todos os Sites"
"Reload Data","Recarregar Dados"
"Browse Files...","Procurar Ficheiros..."
"Copyright &copy; %1 Magento Commerce Inc. All rights reserved.","Copyright&copy; %1 Magento Commerce Inc. Todos os direitos reservados."
"Magento Admin Panel","Painel de Administração do Magento"
"Account Setting","Definições de Conta"
"Customer View","Visão do Cliente"
"Sign Out","Terminar Sessão"
"About the calendar","Sobre o calendário"
"Go Today",Hoje
Previous,Anterior
Next,Seguinte
Time,Hora
Hour,Hora
Minute,Minuto
"JavaScript may be disabled in your browser.","O JavaScript pode estar desativado no seu browser."
"To use this website you must first enable JavaScript in your browser.","Para usar este site deve primeiro ativar o JavaScript no seu browser."
"This is only a demo store. You can browse and place orders, but nothing will be processed.","Esta é apenas uma loja de demonstração. Você pode navegar e fazer pedidos, mas nada será processado."
"Report an Issue","Reportar um Problema"
"Store View:","Vista de Loja:"
"Stores Configuration","Configuração de Lojas"
"Please confirm scope switching. All data that hasn't been saved will be lost.","Por favor confirme a mudança de escopo. Todos os dados que não foram gravados serão perdidos."
"Additional Cache Management","Gestão de Cache Adicional"
"Flush Catalog Images Cache","Limpar Cache de Catálogo de Imagens"
"Pregenerated product images files","Ficheiros de imagens de produtos pré-geradas"
"Flush JavaScript/CSS Cache","Limpar Cache JavaScript/CSS"
"Themes JavaScript and CSS files combined to one file","Os ficheiros CSS e JavaScript dos temas foram combinados para um único ficheiro"
"Flush Static Files Cache","Limpar Cache de Ficheiros Estáticos"
"Preprocessed view files and static files","Ficheiros de Vistas pré-processadas e ficheiros estáticos"
Catalog,Catálogo
"JavaScript/CSS Cache","Cache JavaScript/CSS"
"No records found.","Não foram encontrados registos."
Images,Imagens
"Big Image","Imagem grande"
Thumbnail,"Imagem Miniatura"
"Additional Settings","Configurações adicionais"
"records found","registos encontrados"
selected,seleccionado(s)
"per page","por página"
"Previous page","Página anterior"
"of %1","de %1"
"Next page","Próxima página"
"Export to:","Exportar para:"
"Mass Actions","Ações em massa"
"Unselect All","Desmarcar tudo"
"Select Visible","Seleccionar Visíveis"
"Unselect Visible","Desmarcar Visíveis"
"Changes have been made to this section that have not been saved.","Foram feitas modificações a esta secção que não foram gravadas."
"This tab contains invalid data. Please resolve this before saving.","Este separador contém dados inválidos. Por favor corrija esta informação antes de gravar."
"The information in this tab has been changed.","A informação deste separador foi modificada."
Loading...,Carregando...
"We could not detect a size.","Não foi possível detetar um tamanho."
"We don't recognize or support this file extension type.","Não reconhecemos ou suportamos este formato de ficheiro."
"Warning message","Mensagem de aviso"
"This operation can take a long time","Esta operação pode demorar muito tempo"
"Allow everything","Permitir tudo"
"Magento Admin","Administração do Magento"
"Global Search","Pesquisa Global"
"SEO & Search","SEO e Pesquisa"
"User Content","Conteúdo de Utilizador"
Content,Conteúdo
Elements,Elementos
Schedule,Agenda
"Content translation","Tradução de conteúdo"
Settings,Definições
Attributes,Atributos
"Other Settings","Outras Definições"
"Data Transfer","Transferência de Dados"
"Package Extensions",Extensões
Tools,Ferramentas
"Clean Cache Actions","Limpar o Cache de ações"
"Cache Types Management","Gestão de Cache"
"Toggle Cache Type","Ativar/desativar Cache tipo"
"Refresh Cache Type","Atualizar Cache tipo"
"Catalog Images Cache","Limpar Cache de Catálogo de Imagens"
"Flush Js/Css","Limpar Cache de Js/Css"
"Flush Static Files","Limpar Cache de Ficheiros Estáticos"
"Web Setup Wizard","Assistente de Configuração Web"
Currency,Moeda
Communications,Comunicações
Services,Serviços
Advanced,Avançado
"Disable Modules Output","Desativar o Output dos Módulos"
"Store Email Addresses","Endereços de Email da Loja"
"Custom Email 1","Email Personalizado 1"
"Sender Email","Email do Remetente"
"Sender Name","Nome do Remetente"
"Custom Email 2","Email Personalizado 2"
"General Contact","Contacto Geral"
"Sales Representative","Representante de Vendas"
"Customer Support","Apoio ao Cliente"
Developer,Programador
"Enabled Template Path Hints for Storefront","Ativar Sugestões de Caminho de Templates para a Loja"
"Enabled Template Path Hints for Admin","Ativar Sugestões de Caminho de Templates para a Administração"
"Add Block Names to Hints","Adicionar Nomes dos Blocos às Sugestões"
"Template Settings","Definições de Template"
"Allow Symlinks","Permitir Symlinks"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Aviso! Ativar esta função não é recomendado em ambientes de produção porque representa um potencial risco de segurança."
